manufacturer,date,avg_price,tdp,units,sales,date_new,channel,SOM
BIMBO,AGOSTO 2020,9.725397856446898,239,61.580000000000005,598.8900000000001,2020-08-01,OT,2.1226507881655543
BIMBO,AGOSTO 2021,7.959132740602091,344,192.32999999999998,1530.78,2021-08-01,OT,4.669412386976964
BIMBO,AGOSTO 2022,9.455524179315216,386,226.63999999999993,2142.9999999999995,2022-08-01,OT,5.77092316458791
BIMBO,DICIEMBRE 2019,7.418032786885247,63,9.759999999999998,72.39999999999999,2019-12-01,OT,0.17786167520640184
BIMBO,DICIEMBRE 2020,9.337019629527234,290,108.51,1013.1600000000001,2020-12-01,OT,2.3342000533578835
BIMBO,DICIEMBRE 2021,9.133217617704492,344,184.36,1683.8000000000002,2021-12-01,OT,3.5407326191727373
BIMBO,DICIEMBRE 2022,10.474047873653038,355,243.14000000000001,2546.66,2022-12-01,OT,4.516565433853898
BIMBO,ENERO 2019,6.567164179104477,18,3.35,22,2019-01-01,OT,0.058940148957831
BIMBO,ENERO 2020,7.673655423883318,72,10.969999999999999,84.17999999999999,2020-01-01,OT,0.20524508721087573
BIMBO,ENERO 2021,9.727686703096536,295,98.82000000000001,961.29,2021-01-01,OT,2.3913590762635804
BIMBO,ENERO 2022,9.12636301977357,340,191.67,1749.2500000000002,2022-01-01,OT,4.012834647583995
BIMBO,ENERO 2023,11.051094556921532,375,218.81,2418.09,2023-01-01,OT,4.878407495279136
BIMBO,FEBRERO 2019,6.574394463667821,17,2.8899999999999997,19,2019-02-01,OT,0.07137222493520154
BIMBO,FEBRERO 2020,11.129611650485437,131,20.599999999999998,229.26999999999998,2020-02-01,OT,0.820839227286218
BIMBO,FEBRERO 2021,9.185256103398757,303,83.55999999999999,767.52,2021-02-01,OT,2.896120469434744
BIMBO,FEBRERO 2022,8.880768570938406,330,174.87000000000003,1552.9799999999996,2022-02-01,OT,4.875096412316037
BIMBO,FEBRERO 2023,10.947776394704084,384,176.73999999999998,1934.9099999999999,2023-02-01,OT,5.26136323775697
BIMBO,JULIO 2019,6.6002490660024895,45,8.030000000000001,53,2019-07-01,OT,0.16582191352230774
BIMBO,JULIO 2020,9.157299578059073,224,59.25000000000001,542.57,2020-07-01,OT,2.0342436195791596
